assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	asm_submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material	asm_not_live_date	assembly_type	group	genome_size	genome_size_ungapped	gc_percent	replicon_count	scaffold_count	contig_count	annotation_provider	annotation_name	annotation_date	total_gene_count	protein_coding_gene_count	non_coding_gene_count	pubmed_id
GCF_014203695.1	PRJNA224116	SAMN12025532	JACHJO000000000.1	reference genome	1478215	1478215	Nocardiopsis algeriensis	strain=CECT 8712	na	latest	Scaffold	Major	Full	2020-08-14	ASM1420369v1	DOE Joint Genome Institute	GCA_014203695.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/203/695/GCF_014203695.1_ASM1420369v1	na	assembly from type material	na        	haploid	bacteria	4812129	4811278	71.5	0	26	26	NCBI RefSeq	GCF_014203695.1-RS_2024_05_05	2024-05-05	4246	4141	62	na
GCF_002270055.1	PRJNA224116	SAMN07184001	NIBG00000000.1	reference genome	1478221	1478221	Anaeromicrobium sediminis	strain=DY2726D	na	latest	Scaffold	Major	Full	2017-08-25	ASM227005v1	the third institute of oceanography	GCA_002270055.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/270/055/GCF_002270055.1_ASM227005v1	na	assembly from type material	na        	haploid	bacteria	4710588	4710539	31.5	0	55	55	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2024-02-28	4440	4355	57	na
GCF_016908785.1	PRJNA224116	SAMN17619944	JAFBEO000000000.1	reference genome	1479233	1479233	Weissella uvarum	strain=DSM 28060	na	latest	Contig	Major	Full	2021-02-19	ASM1690878v1	DOE Joint Genome Institute	GCA_016908785.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/908/785/GCF_016908785.1_ASM1690878v1	na	assembly from type material	na        	haploid	bacteria	1680010	1680010	40.0	0	15	15	NCBI RefSeq	GCF_016908785.1-RS_2024_03_28	2024-03-28	1738	1653	73	na
GCF_000760695.4	PRJNA224116	SAMN09809659	JHEG00000000.4	reference genome	1479485	1246981	Tolypothrix bouteillei VB521301	strain=VB521301	na	latest	Scaffold	Major	Full	2020-04-06	ASM76069v4	Indian Institute Of Chemical biology	GCA_000760695.4	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/760/695/GCF_000760695.4_ASM76069v4	na	na	na        	haploid	bacteria	9949079	9945632	41.5	0	2	2	NCBI RefSeq	GCF_000760695.4-RS_2024_03_14	2024-03-14	8181	7922	95	25700407
GCF_014652695.1	PRJNA224116	SAMD00245634	BMZH00000000.1	reference genome	1479486	1479486	Algimonas arctica	strain=KCTC 32513	na	latest	Contig	Major	Full	2020-09-12	ASM1465269v1	WFCC-MIRCEN World Data Centre for Microorganisms (WDCM)	GCA_014652695.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/652/695/GCF_014652695.1_ASM1465269v1	na	assembly from type material	na        	haploid	bacteria	3247683	3247683	54.5	0	49	49	NCBI RefSeq	GCF_014652695.1-RS_2024_09_02	2024-09-02	3071	2972	45	30832757
GCF_014638995.1	PRJNA224116	SAMD00244961	BMFR00000000.1	reference genome	1479511	1479511	Virgibacillus oceani	strain=CGMCC 1.12754	na	latest	Scaffold	Major	Full	2020-09-12	ASM1463899v1	WFCC-MIRCEN World Data Centre for Microorganisms (WDCM)	GCA_014638995.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/638/995/GCF_014638995.1_ASM1463899v1	na	assembly from type material	na        	haploid	bacteria	3842800	3842726	38.0	0	45	45	NCBI RefSeq	GCF_014638995.1-RS_2024_09_02	2024-09-02	3960	3821	78	30832757
GCF_002993325.1	PRJNA224116	SAMN08634502	PVNO00000000.1	reference genome	1479524	1479524	Alteromonas gracilis	strain=9a2	na	latest	Scaffold	Major	Full	2018-03-11	ASM299332v1	Second Institute of Oceanography, State Oceanic Administration	GCA_002993325.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/993/325/GCF_002993325.1_ASM299332v1	na	assembly from type material	na        	haploid	bacteria	4324193	4324143	44.5	0	31	31	NCBI RefSeq	GCF_002993325.1-RS_2024_03_28	2024-03-28	3732	3633	87	na
GCF_001703635.1	PRJNA224116	SAMN04364335	LQZT00000000.1	reference genome	1480615	1480615	Hoeflea olei	strain=JC234	na	latest	Scaffold	Major	Full	2016-08-11	ASM170363v1	UoH	GCA_001703635.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/703/635/GCF_001703635.1_ASM170363v1	na	assembly from type material	na        	haploid	bacteria	4723612	4723181	65.5	0	50	50	NCBI RefSeq	GCF_001703635.1-RS_2024_04_30	2024-04-30	4445	4324	50	na
GCF_000758165.1	PRJNA224116	SAMN02708690	JNUP00000000.1	reference genome	1480694	1480694	Spirochaeta lutea	strain=JC230	na	latest	Scaffold	Major	Full	2014-09-25	Spiroch1.0	JNTU Hyderabad	GCA_000758165.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/758/165/GCF_000758165.1_Spiroch1.0	na	assembly from type material	na        	haploid	bacteria	3532909	3531583	54.0	0	72	72	NCBI RefSeq	GCF_000758165.1-RS_2024_04_30	2024-04-30	2991	2915	61	25487950
GCF_010671565.1	PRJNA224116	SAMN13880826	JAABOQ000000000.1	reference genome	1481457	1481457	Spongiivirga citrea	strain=KCTC 32990	na	latest	Contig	Major	Full	2020-02-16	ASM1067156v1	Guangxi University	GCA_010671565.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/671/565/GCF_010671565.1_ASM1067156v1	na	assembly from type material	na        	haploid	bacteria	4150764	4150764	36.5	0	17	17	NCBI RefSeq	GCF_010671565.1-RS_2024_10_23	2024-10-23	3661	3607	48	na
GCF_030580635.1	PRJNA224116	SAMN36294848	na	reference genome	1481663	1481663	Vibrio metoecus	strain=ZF102	na	latest	Complete Genome	Major	Full	2023-08-01	ASM3058063v1	NCTR/FDA	GCA_030580635.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/580/635/GCF_030580635.1_ASM3058063v1	na	na	na        	haploid	bacteria	4058791	4058791	47.0	4	4	4	NCBI RefSeq	GCF_030580635.1-RS_2024_08_09	2024-08-09	3770	3545	140	na
GCF_019132845.1	PRJNA224116	SAMN19967794	JAHSPR000000000.1	reference genome	1481665	1481665	Advenella alkanexedens	strain=LAM0050	na	latest	Contig	Major	Full	2021-07-06	ASM1913284v1	YUNNAN UNIVERSITY	GCA_019132845.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/132/845/GCF_019132845.1_ASM1913284v1	na	assembly from type material	na        	haploid	bacteria	2991300	2991300	50.0	0	20	20	NCBI RefSeq	GCF_019132845.1-RS_2024_05_06	2024-05-06	2854	2767	52	na
GCF_002105285.1	PRJNA224116	SAMN05194549	MUHR00000000.1	reference genome	1481893	1481893	Planktotalea arctica	strain=IMCC9565	na	latest	Scaffold	Major	Full	2017-04-21	ASM210528v1	Nakdonggang National Institute of Biological Resources	GCA_002105285.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/105/285/GCF_002105285.1_ASM210528v1	na	assembly from type material	na        	haploid	bacteria	3786425	3786400	57.0	0	49	49	NCBI RefSeq	GCF_002105285.1-RS_2024_05_03	2024-05-03	3758	3658	45	na
GCF_003172895.1	PRJNA224116	SAMN09228919	QGKL00000000.1	reference genome	1481894	1481894	Leucothrix arctica	strain=IMCC9719	na	latest	Contig	Major	Full	2018-05-26	ASM317289v1	Nakdonggang National Institute of Biological Resources	GCA_003172895.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/172/895/GCF_003172895.1_ASM317289v1	na	assembly from type material	na        	haploid	bacteria	4752604	4752604	43.5	0	44	44	NCBI RefSeq	GCF_003172895.1-RS_2024_05_04	2024-05-04	4330	4225	71	na
GCF_029360665.1	PRJNA224116	SAMN33421425	JARDUB000000000.1	reference genome	1481905	1481905	Eudoraea chungangensis	strain=KCTC 42048	na	latest	Contig	Major	Full	2023-03-22	ASM2936066v1	Second Institute Of Oceanography,MNR	GCA_029360665.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/029/360/665/GCF_029360665.1_ASM2936066v1	na	assembly from type material	na        	haploid	bacteria	3725850	3725850	37.0	0	17	17	NCBI RefSeq	GCF_029360665.1-RS_2024_04_01	2024-04-01	3288	3234	43	na
GCF_024347675.1	PRJNA224116	SAMD00512237	na	reference genome	1481914	1481914	Vibrio ishigakensis	strain=C1	na	latest	Complete Genome	Major	Full	2022-07-13	ASM2434767v1	Laboratory of Microbiology, Division of Marine Life Science, Faculty of Fisheries Sciences, Hokkaido University	GCA_024347675.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/347/675/GCF_024347675.1_ASM2434767v1	na	assembly from type material	na        	haploid	bacteria	4785997	4785997	46.0	2	2	2	NCBI RefSeq	GCF_024347675.1-RS_2024_10_11	2024-10-11	4431	4282	126	34905112
GCF_010587385.1	PRJNA224116	SAMN13738063	na	reference genome	1481923	1481923	Vibrio astriarenae	strain=HN897	na	latest	Complete Genome	Major	Full	2020-02-14	ASM1058738v1	Hohai University	GCA_010587385.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/587/385/GCF_010587385.1_ASM1058738v1	na	na	na        	haploid	bacteria	4799333	4799333	45.5	2	2	2	NCBI RefSeq	GCF_010587385.1-RS_2024_03_28	2024-03-28	4363	4186	154	na
GCF_900231165.1	PRJNA224116	SAMEA104312995	na	reference genome	1482074	1482074	Hartmannibacter diazotrophicus	strain=E19T	na	latest	Complete Genome	Major	Full	2017-10-25	HDIA1	JLU	GCA_900231165.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/231/165/GCF_900231165.1_HDIA1	na	assembly from type material	na        	haploid	bacteria	5449775	5449775	64.0	2	2	2	NCBI RefSeq	GCF_900231165.1-RS_2024_05_03	2024-05-03	5061	4946	58	na
GCF_014652815.1	PRJNA224116	SAMD00245641	BMZN00000000.1	reference genome	1482717	1482717	Alcaligenes pakistanensis	strain=KCTC 42083	na	latest	Scaffold	Major	Full	2020-09-12	ASM1465281v1	WFCC-MIRCEN World Data Centre for Microorganisms (WDCM)	GCA_014652815.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/652/815/GCF_014652815.1_ASM1465281v1	na	assembly from type material	na        	haploid	bacteria	4018018	4015466	55.5	0	16	16	NCBI RefSeq	GCF_014652815.1-RS_2024_09_02	2024-09-02	3679	3600	59	30832757
GCF_016908555.1	PRJNA224116	SAMN17619974	JAFBEE000000000.1	reference genome	1482730	1482730	Alkaliphilus hydrothermalis	strain=DSM 25890	na	latest	Contig	Major	Full	2021-02-19	ASM1690855v1	DOE Joint Genome Institute	GCA_016908555.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/908/555/GCF_016908555.1_ASM1690855v1	na	assembly from type material	na        	haploid	bacteria	3075942	3075942	36.5	0	54	54	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2024-02-29	3016	2902	96	na
GCF_009017255.1	PRJNA224116	SAMN12896691	WBZB00000000.1	reference genome	1482731	1482731	Alkaliphilus serpentinus	strain=LacT	na	latest	Contig	Major	Full	2019-10-12	ASM901725v1	Mediterranean Institute of Oceanography (MIO), UMR 7294	GCA_009017255.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/017/255/GCF_009017255.1_ASM901725v1	na	assembly from type material	na        	haploid	bacteria	3291524	3291524	36.0	0	83	83	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2024-02-29	3244	3164	57	na
GCF_009017275.1	PRJNA224116	SAMN12896752	WBZC00000000.1	reference genome	1482732	1482732	Alkaliphilus pronyensis	strain=LacV	na	latest	Contig	Major	Full	2019-10-12	ASM901727v1	Mediterranean Institute of Oceanography (MIO), UMR 7294	GCA_009017275.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/017/275/GCF_009017275.1_ASM901727v1	na	assembly from type material	na        	haploid	bacteria	3061315	3061315	34.0	0	94	94	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2024-02-29	3050	2997	41	na
GCF_017874355.1	PRJNA224116	SAMN18245329	JAGGLI000000000.1	reference genome	1482736	1482736	Acetoanaerobium pronyense	strain=DSM 27512	na	latest	Contig	Major	Full	2021-04-08	ASM1787435v1	DOE Joint Genome Institute	GCA_017874355.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/874/355/GCF_017874355.1_ASM1787435v1	na	assembly from type material	na        	haploid	bacteria	2980298	2980298	33.0	0	83	83	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2024-02-29	2923	2838	65	na
GCF_028622115.1	PRJNA224116	SAMN28106906	na	reference genome	1483604	1483604	Kutzneria chonburiensis	strain=SMC256	na	latest	Complete Genome	Major	Full	2023-02-14	ASM2862211v1	Chulalongkorn University	GCA_028622115.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/622/115/GCF_028622115.1_ASM2862211v1	na	assembly from type material	na        	haploid	bacteria	10411187	10411187	70.0	1	1	1	NCBI RefSeq	GCF_028622115.1-RS_2024_03_25	2024-03-25	9696	9424	70	na
GCF_900129025.1	PRJNA224116	SAMN05444274	FQUM00000000.1	reference genome	1484053	1484053	Mariniphaga anaerophila	strain=DSM 26910	na	latest	Scaffold	Major	Full	2016-12-03	IMG-taxon 2695420943 annotated assembly	DOE - JOINT GENOME INSTITUTE	GCA_900129025.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/129/025/GCF_900129025.1_IMG-taxon_2695420943_annotated_assembly	na	assembly from type material	na        	haploid	bacteria	5048302	5047836	42.0	0	45	45	NCBI RefSeq	GCF_900129025.1-RS_2024_10_22	2024-10-22	3927	3866	49	na
GCF_003096655.1	PRJNA224116	SAMN08775545	QEKQ00000000.1	reference genome	1484056	1484056	Tamilnaduibacter salinus	strain=DSM 28688	na	latest	Scaffold	Major	Full	2018-05-07	ASM309665v1	DOE Joint Genome Institute	GCA_003096655.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/096/655/GCF_003096655.1_ASM309665v1	na	assembly from type material	na        	haploid	bacteria	3400134	3399579	61.0	0	23	23	NCBI RefSeq	GCF_003096655.1-RS_2024_04_15	2024-04-15	3110	3037	53	na
GCF_013201075.1	PRJNA224116	SAMN14917828	na	reference genome	1484109	1484109	Lichenicola cladoniae	strain=PAMC 26569	na	latest	Complete Genome	Major	Full	2020-05-31	ASM1320107v1	Korea Polar Research institute	GCA_013201075.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/201/075/GCF_013201075.1_ASM1320107v1	na	assembly from type material	na        	haploid	bacteria	6061304	6061304	64.5	8	8	8	NCBI RefSeq	GCF_013201075.1-RS_2024_03_28	2024-03-28	5685	5416	63	25001073
GCF_020012125.1	PRJNA224116	SAMN20425563	JAIFAG000000000.1	reference genome	1484116	1484116	Hymenobacter psoromatis	strain=PAMC 26554	na	latest	Contig	Major	Full	2021-09-16	ASM2001212v1	Korea Polar Research Institute	GCA_020012125.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/012/125/GCF_020012125.1_ASM2001212v1	na	assembly from type material	na        	haploid	bacteria	5146772	5146772	60.5	0	7	7	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2024-03-08	4499	4420	51	na
GCF_031456785.1	PRJNA224116	SAMN18250251	JAVDVI000000000.1	reference genome	1484332	1484332	Flavobacterium arsenatis	strain=3773	na	latest	Contig	Major	Full	2023-09-13	ASM3145678v1	DOE Joint Genome Institute	GCA_031456785.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/031/456/785/GCF_031456785.1_ASM3145678v1	na	na	na        	haploid	bacteria	4104664	4104664	36.0	0	37	37	NCBI RefSeq	GCF_031456785.1-RS_2024_09_15	2024-09-15	3649	3581	49	na
GCF_000797465.1	PRJNA224116	SAMN02929382	JSWG00000000.1	reference genome	1484460	1484460	Psychroserpens jangbogonensis	strain=PAMC 27130	na	latest	Contig	Major	Full	2014-12-04	ASM79746v1	KORIA POLAR RESEARCH INSTITUTE	GCA_000797465.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/797/465/GCF_000797465.1_ASM79746v1	na	assembly from type material	na        	haploid	bacteria	3633537	3633537	32.5	0	62	62	NCBI RefSeq	GCF_000797465.1-RS_2024_04_02	2024-04-02	3259	3200	42	25316694
GCF_001955715.1	PRJNA224116	SAMN06130150	na	reference genome	1484693	1484693	Rhodoferax saidenbachensis	strain=DSM 22694	na	latest	Complete Genome	Major	Full	2017-01-18	ASM195571v1	Korea University	GCA_001955715.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/955/715/GCF_001955715.1_ASM195571v1	na	assembly from type material	na        	haploid	bacteria	4264855	4264855	61.0	1	1	1	NCBI RefSeq	GCF_001955715.1-RS_2024_03_28	2024-03-28	4057	3973	56	na
GCF_002760655.1	PRJNA224116	SAMN07785153	PDOC00000000.1	reference genome	1485217	1485217	Massilia eurypsychrophila	strain=JCM 30074	na	latest	Contig	Major	Full	2017-11-07	ASM276065v1	Chinese Academy of Agricultural Sciences	GCA_002760655.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/760/655/GCF_002760655.1_ASM276065v1	na	assembly from type material	na        	haploid	bacteria	5949316	5949316	64.0	0	119	119	NCBI RefSeq	GCF_002760655.1-RS_2024_08_18	2024-08-18	5598	5391	87	na
GCF_000744415.1	PRJNA224116	SAMN02745185	JQLW00000000.1	reference genome	1485545	1485545	Ghiorsea bivora	strain=TAG-1	na	latest	Scaffold	Major	Full	2014-08-28	ASM74441v1	DOE Joint Genome Institute	GCA_000744415.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/744/415/GCF_000744415.1_ASM74441v1	na	assembly from type material	na        	haploid	bacteria	2163552	2163542	42.5	0	13	13	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2023-11-05	2217	2150	48	na
GCF_003014575.1	PRJNA224116	SAMN07621054	PYGF00000000.1	reference genome	1485585	1485585	Cecembia rubra	strain=DSM 28057	na	latest	Scaffold	Major	Full	2018-03-23	ASM301457v1	DOE Joint Genome Institute	GCA_003014575.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/014/575/GCF_003014575.1_ASM301457v1	na	assembly from type material	na        	haploid	bacteria	4747752	4746774	39.5	0	31	31	NCBI RefSeq	GCF_003014575.1-RS_2024_05_03	2024-05-03	3999	3936	46	na
GCF_014141525.1	PRJNA224116	SAMN12256502	VKHS00000000.1	reference genome	1485586	1485586	Streptomyces calidiresistens	strain=DSM 42108	na	latest	Contig	Major	Full	2020-08-10	ASM1414152v1	Nicolaus Copernicus University	GCA_014141525.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/141/525/GCF_014141525.1_ASM1414152v1	na	assembly from type material	na        	haploid	bacteria	6196881	6196881	73.0	0	1643	1643	NCBI RefSeq	GCF_014141525.1-RS_2024_08_04	2024-08-04	5785	5313	70	na
GCF_004761865.1	PRJNA224116	SAMN10817704	SJDM00000000.1	reference genome	1485588	1485588	Crenalkalicoccus roseus	strain=YIM 78023	na	latest	Scaffold	Major	Full	2019-04-09	ASM476186v1	Henan Normal University	GCA_004761865.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/761/865/GCF_004761865.1_ASM476186v1	na	assembly from type material	na        	haploid	bacteria	4431246	4430919	74.0	0	127	127	NCBI RefSeq	GCF_004761865.1-RS_2024_03_28	2024-03-28	4274	4143	53	27001292
GCF_001971745.1	PRJNA224116	SAMN06234633	na	reference genome	1486034	1486034	Lacinutrix venerupis	strain=DOK2-8	na	latest	Complete Genome	Major	Full	2017-01-26	ASM197174v1	Korea Research Institute of Bioscience & Biotechnology	GCA_001971745.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/971/745/GCF_001971745.1_ASM197174v1	na	na	na        	haploid	bacteria	3192399	3192399	30.5	1	1	1	NCBI RefSeq	GCF_001971745.1-RS_2024_10_22	2024-10-22	2856	2808	47	na
GCF_000960975.1	PRJNA224116	SAMN03284753	na	reference genome	1486262	1486262	Martelella endophytica	strain=YC6887	na	latest	Complete Genome	Major	Full	2015-03-24	ASM96097v1	Gyeonsang National university	GCA_000960975.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/960/975/GCF_000960975.1_ASM96097v1	na	assembly from type material	na        	haploid	bacteria	4817335	4817335	62.0	1	1	1	NCBI RefSeq	GCF_000960975.1-RS_2024_04_24	2024-04-24	4542	4410	66	25953177
GCF_900129235.1	PRJNA224116	SAMN05444273	FQUV00000000.1	reference genome	1486859	1486859	Litoreibacter ascidiaceicola	strain=DSM 100566	na	latest	Contig	Major	Full	2016-12-03	IMG-taxon 2695420937 annotated assembly	DOE - JOINT GENOME INSTITUTE	GCA_900129235.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/129/235/GCF_900129235.1_IMG-taxon_2695420937_annotated_assembly	na	assembly from type material	na        	haploid	bacteria	3743875	3743875	58.0	0	22	22	NCBI RefSeq	GCF_900129235.1-RS_2024_05_03	2024-05-03	3703	3639	47	na
GCF_002086915.1	PRJNA224116	SAMN06368474	MWQA00000000.1	reference genome	1487726	1487726	Mycobacterium persicum	strain=12MK	na	latest	Scaffold	Major	Full	2017-04-11	ASM208691v1	Forschungszentrum Borstel, Germany	GCA_002086915.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/086/915/GCF_002086915.1_ASM208691v1	na	na	na        	haploid	bacteria	6347217	6337417	66.0	0	30	30	NCBI RefSeq	GCF_002086915.1-RS_2024_04_08	2024-04-08	5792	5399	54	na
GCF_011762155.1	PRJNA224116	SAMN12025951	JAASQL000000000.1	reference genome	1487859	1487859	Wenyingzhuangia heitensis	strain=DSM 101599	na	latest	Scaffold	Major	Full	2020-03-27	ASM1176215v1	DOE Joint Genome Institute	GCA_011762155.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/762/155/GCF_011762155.1_ASM1176215v1	na	assembly from type material	na        	haploid	bacteria	3668833	3668541	31.5	0	26	26	NCBI RefSeq	GCF_011762155.1-RS_2024_10_23	2024-10-23	3129	3065	52	na
GCF_003363015.1	PRJNA224116	SAMN08776296	QRAP00000000.1	reference genome	1487935	1487935	Enterobacillus tribolii	strain=DSM 103736	na	latest	Scaffold	Major	Full	2018-08-02	ASM336301v1	DOE Joint Genome Institute	GCA_003363015.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/363/015/GCF_003363015.1_ASM336301v1	na	assembly from type material	na        	haploid	bacteria	4931017	4929967	56.0	0	39	39	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2024-02-01	4354	4210	86	na
GCF_029914245.1	PRJNA224116	SAMN34246931	JARYZI000000000.1	reference genome	1488331	1488331	Fusibacter bizertensis	strain=WBS	na	latest	Contig	Major	Full	2023-05-01	ASM2991424v1	Research Center of Biotechnology	GCA_029914245.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/029/914/245/GCF_029914245.1_ASM2991424v1	na	na	na        	haploid	bacteria	3780433	3780433	35.0	0	67	67	NCBI RefSeq	GCF_029914245.1-RS_2024_05_01	2024-05-01	3543	3452	68	na
GCF_001445655.1	PRJNA224116	SAMN04253747	LNBE00000000.1	reference genome	1488406	1488406	Streptomyces roseifaciens	strain=MBT76	na	latest	Scaffold	Major	Full	2015-11-18	ASM144565v1	Institute of Biology Leiden	GCA_001445655.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/445/655/GCF_001445655.1_ASM144565v1	na	assembly from type material	na        	haploid	bacteria	8639831	8639493	72.0	0	13	13	NCBI RefSeq	GCF_001445655.1-RS_2024_03_28	2024-03-28	7528	7245	78	27073352
GCF_001026905.1	PRJNA224116	SAMN03449751	LAQL00000000.1	reference genome	1489064	1489064	Kiloniella spongiae	strain=MEBiC09566	na	latest	Contig	Major	Full	2015-06-05	ASM102690v1	The Third Institute of State Oceanic Administration	GCA_001026905.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/026/905/GCF_001026905.1_ASM102690v1	na	assembly from type material	na        	haploid	bacteria	4475311	4475311	45.0	0	77	77	NCBI RefSeq	GCF_001026905.1-RS_2024_05_02	2024-05-02	4211	4143	46	26386704
GCF_003337565.1	PRJNA224116	SAMN09075496	QPJL00000000.1	reference genome	1490030	1490030	Paracoccus lutimaris	strain=CECT 8525	na	latest	Scaffold	Major	Full	2018-07-24	ASM333756v1	DOE Joint Genome Institute	GCA_003337565.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/337/565/GCF_003337565.1_ASM333756v1	na	assembly from type material	na        	haploid	bacteria	4206165	4206068	65.0	0	92	92	NCBI RefSeq	GCF_003337565.1-RS_2024_05_04	2024-05-04	4068	3925	51	na
GCF_006716425.1	PRJNA224116	SAMN11512342	VFOZ00000000.1	reference genome	1490222	1490222	Actinoallomurus bryophytorum	strain=DSM 102200	na	latest	Contig	Major	Full	2019-07-08	ASM671642v1	DOE Joint Genome Institute	GCA_006716425.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/716/425/GCF_006716425.1_ASM671642v1	na	assembly from type material	na        	haploid	bacteria	9466640	9466640	70.0	0	3	3	NCBI RefSeq	GCF_006716425.1-RS_2024_05_04	2024-05-04	8746	8589	80	na
GCF_040429615.1	PRJNA224116	SAMN39245861	na	reference genome	1490225	1490225	Micromonospora harpali	strain=NEAU-JC6	na	latest	Chromosome	Major	Full	2024-07-05	ASM4042961v1	School of Life and Health Sciences, Hunan University of Science and Technology	GCA_040429615.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/040/429/615/GCF_040429615.1_ASM4042961v1	na	assembly from type material	na        	haploid	bacteria	7369069	7368969	74.0	1	1	1	NCBI RefSeq	GCF_040429615.1-RS_2024_07_01	2024-07-01	6270	6114	66	na
GCF_016055185.1	PRJNA224116	SAMN15897724	JAECVR000000000.1	reference genome	1490290	1490290	Paenactinomyces guangxiensis	strain=CICC 11033=CGMCC 4.7156	na	latest	Contig	Major	Full	2020-12-15	ASM1605518v1	China National Research Institute of Food and Fermentation Industries	GCA_016055185.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/055/185/GCF_016055185.1_ASM1605518v1	na	na	na        	haploid	bacteria	4218886	4218886	45.5	0	71	71	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2024-02-16	4086	3896	82	na
GCF_009711125.1	PRJNA224116	SAMN13326190	WMIB00000000.1	reference genome	1491830	1491830	Metabacillus mangrovi	strain=KCTC 33872	na	latest	Contig	Major	Full	2019-11-26	ASM971112v1	Lycoming College	GCA_009711125.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/711/125/GCF_009711125.1_ASM971112v1	na	assembly from type material	na        	haploid	bacteria	4067303	4067303	46.5	0	60	60	NCBI RefSeq	GCF_009711125.1-RS_2024_05_26	2024-05-26	4202	4072	95	28714845
