assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	asm_submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material	asm_not_live_date	assembly_type	group	genome_size	genome_size_ungapped	gc_percent	replicon_count	scaffold_count	contig_count	annotation_provider	annotation_name	annotation_date	total_gene_count	protein_coding_gene_count	non_coding_gene_count	pubmed_id	domain	kingdom	phylum	class	order	family	genus	suborder	subclass	clade	no rank	species group	species subgroup	species	subfamily	tribe	subspecies	serotype	forma specialis	pathogroup	strain	subgenus
GCF_001281385.1	PRJNA224116	SAMN04054243	na	reference genome	1125411	1427364	Candidatus Pseudothioglobus singularis PS1	strain=PS1	na	latest	Complete Genome	Major	Full	2015-09-14	ASM128138v1	University of Washington	GCA_001281385.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/281/385/GCF_001281385.1_ASM128138v1	na	assembly from type material	na        	haploid	bacteria	1714148	1714148	37.5	1	1	1	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2024-03-03	1763	1713	45	26494659	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria		Candidatus Pseudothioglobaceae	Candidatus Pseudothioglobus				Gammaproteobacteria incertae sedis			Candidatus Pseudothioglobus singularis								
GCF_004341245.1	PRJNA224116	SAMN10866403	SLWY00000000.1	reference genome	1133106	1133106	Plasticicumulans lactativorans	strain=DSM 25287	na	latest	Scaffold	Major	Full	2019-03-11	ASM434124v1	DOE Joint Genome Institute	GCA_004341245.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/341/245/GCF_004341245.1_ASM434124v1	na	assembly from type material	na        	haploid	bacteria	4397582	4396909	70.5	0	61	61	NCBI RefSeq	GCF_004341245.1-RS_2024_04_17	2024-04-17	3971	3857	58	na	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria		Candidatus Competibacteraceae	Plasticicumulans				Gammaproteobacteria incertae sedis											
GCF_009429125.1	PRJNA224116	SAMN13106273	na	reference genome	1133546	1133546	Luteimicrobium xylanilyticum	strain=HY-24	na	latest	Complete Genome	Major	Full	2019-10-31	ASM942912v1	Korea Research Institute of Bioscience and Biotechnology (KRIBB)	GCA_009429125.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/429/125/GCF_009429125.1_ASM942912v1	na	na	na        	haploid	bacteria	4208275	4208275	73.0	1	1	1	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2023-12-23	3771	3680	58	na	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micrococcales		Luteimicrobium				Micrococcales incertae sedis											
GCF_003002095.1	PRJNA224116	SAMN07621481	PVZC00000000.1	reference genome	1144618	1144618	Allonocardiopsis opalescens	strain=DSM 45601	na	latest	Scaffold	Major	Full	2018-03-15	ASM300209v1	DOE Joint Genome Institute	GCA_003002095.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/002/095/GCF_003002095.1_ASM300209v1	na	assembly from type material	na        	haploid	bacteria	6972847	6972583	74.0	0	22	22	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2023-05-04	6341	6240	61	na	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Streptosporangiales		Allonocardiopsis				Streptosporangiales incertae sedis											
GCF_024820135.1	PRJNA224116	SAMN26686293	na	reference genome	1160784	1160784	Candidatus Nasuia deltocephalinicola	strain=HICO	na	latest	Chromosome	Major	Full	2022-09-01	ASM2482013v1	University of California Merced	GCA_024820135.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/820/135/GCF_024820135.1_ASM2482013v1	na	na	na        	haploid	bacteria	112590	112299	17.5	1	1	1	NCBI RefSeq	GCF_024820135.1-RS_2024_06_09	2024-06-09	160	133	27	35982793	Bacteria	Pseudomonadati	Pseudomonadota	Betaproteobacteria			Candidatus Nasuia				Betaproteobacteria incertae sedis											
GCF_000601485.1	PRJNA224116	SAMN02952950	ASRX00000000.1	reference genome	1192034	51	Chondromyces apiculatus DSM 436	strain=DSM 436	na	latest	Contig	Major	Full	2014-03-27	Chondromyces apiculatus DSM 436 genome assembly	IMTECH-CSIR	GCA_000601485.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/601/485/GCF_000601485.1_Chondromyces_apiculatus_DSM_436_genome_assembly	na	na	na        	haploid	bacteria	11577721	11577721	70.5	0	182	182	NCBI RefSeq	GCF_000601485.1-RS_2024_08_20	2024-08-20	8785	8550	88	na	Bacteria	Pseudomonadati	Myxococcota		Polyangiales	Polyangiaceae	Chondromyces		Polyangia					Chondromyces apiculatus								
GCF_000340825.1	PRJNA224116	SAMN02641642	na	reference genome	1208918	33056	Candidatus Kinetoplastibacterium crithidii TCC036E	strain=TCC036E	na	latest	Complete Genome	Major	Full	2013-02-19	ASM34082v1	VCU	GCA_000340825.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/340/825/GCF_000340825.1_ASM34082v1	na	na	na        	haploid	bacteria	821930	821930	31.0	1	1	1	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2024-01-24	789	732	56	23345457	Bacteria	Pseudomonadati	Pseudomonadota	Betaproteobacteria			Candidatus Kinetoplastidibacterium				Betaproteobacteria incertae sedis			Candidatus Kinetoplastidibacterium crithidiae								
GCF_000340795.1	PRJNA224116	SAMN02641643	na	reference genome	1208919	994692	Candidatus Kinetoplastibacterium desouzaii TCC079E	strain=TCC079E	na	latest	Complete Genome	Major	Full	2013-02-19	ASM34079v1	VCU	GCA_000340795.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/340/795/GCF_000340795.1_ASM34079v1	na	na	na        	haploid	bacteria	833125	833125	30.0	1	1	1	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2024-01-24	797	741	55	23345457	Bacteria	Pseudomonadati	Pseudomonadota	Betaproteobacteria			Candidatus Kinetoplastidibacterium				Betaproteobacteria incertae sedis			Candidatus Kinetoplastidibacterium desouzai								
GCF_000340865.1	PRJNA224116	SAMN02641644	na	reference genome	1208920	994696	Candidatus Kinetoplastibacterium oncopeltii TCC290E	strain=TCC290E	na	latest	Complete Genome	Major	Full	2013-02-19	ASM34086v1	VCU	GCA_000340865.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/340/865/GCF_000340865.1_ASM34086v1	na	na	na        	haploid	bacteria	810172	810172	31.0	1	1	1	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2024-01-24	759	701	55	23345457	Bacteria	Pseudomonadati	Pseudomonadota	Betaproteobacteria			Candidatus Kinetoplastidibacterium				Betaproteobacteria incertae sedis			Candidatus Kinetoplastidibacterium stringomonadis								
GCF_000340905.1	PRJNA224116	SAMN02641645	na	reference genome	1208921	994695	Candidatus Kinetoplastibacterium galatii TCC219	strain=TCC219	na	latest	Complete Genome	Major	Full	2013-02-19	ASM34090v1	VCU	GCA_000340905.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/340/905/GCF_000340905.1_ASM34090v1	na	na	na        	haploid	bacteria	822140	822140	32.5	1	1	1	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2024-01-24	787	720	55	23345457	Bacteria	Pseudomonadati	Pseudomonadota	Betaproteobacteria			Candidatus Kinetoplastidibacterium				Betaproteobacteria incertae sedis			Candidatus Kinetoplastidibacterium galati								
GCF_000319245.1	PRJNA224116	SAMN02641518	na	reference genome	1208923	233181	Candidatus Kinetoplastibacterium blastocrithidii (ex Strigomonas culicis)	na	RC12	latest	Complete Genome	Major	Full	2012-12-11	ASM31924v1	LNCC	GCA_000319245.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/319/245/GCF_000319245.1_ASM31924v1	na	na	na        	haploid	bacteria	820037	820037	32.5	1	1	1	NCBI RefSeq	GCF_000319245.1-RS_2024_03_28	2024-03-28	792	736	55	23560078	Bacteria	Pseudomonadati	Pseudomonadota	Betaproteobacteria			Candidatus Kinetoplastidibacterium				Betaproteobacteria incertae sedis			Candidatus Kinetoplastidibacterium blastocrithidiae								
GCF_000820765.1	PRJNA224116	SAMEA2821497	CCYH00000000.1	reference genome	1211843	1470354	Candidatus Soleaferrea massiliensis AP7	strain=AP7	na	latest	Contig	Major	Full	2014-10-16	Arquibacterium massiliensis AP7	ebi	GCA_000820765.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/820/765/GCF_000820765.1_Arquibacterium_massiliensis_AP7	na	na	na        	haploid	bacteria	3098593	3098593	53.0	0	51	51	NCBI RefSeq	GCF_000820765.1-RS_2024_03_31	2024-03-31	2501	2433	51	na	Bacteria	Bacillati	Bacillota	Clostridia	Eubacteriales		Candidatus Soleaferrea				Eubacteriales incertae sedis			Candidatus Soleaferrea massiliensis								
GCF_004022265.1	PRJNA224116	SAMN10690863	SAVB00000000.1	reference genome	1215032	1215032	Sinirhodobacter ferrireducens	strain=CCTCC AB 2012026	na	latest	Contig	Major	Full	2019-01-14	ASM402226v1	Research Institute of Forest Ecology Environment and Protection	GCA_004022265.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/022/265/GCF_004022265.1_ASM402226v1	na	assembly from type material	na        	haploid	bacteria	4066781	4066781	68.0	0	61	61	NCBI RefSeq	GCF_004022265.1-RS_2024_10_23	2024-10-23	4010	3879	56	na	Bacteria	Pseudomonadati	Pseudomonadota	Alphaproteobacteria	Rhodobacterales		Paenirhodobacter				Rhodobacter group											
GCF_003999255.1	PRJNA224116	SAMN10622644	na	reference genome	1222016	1222016	Caldicellulosiruptor changbaiensis	strain=CBS-Z	na	latest	Complete Genome	Major	Full	2019-01-08	ASM399925v1	Oakland University	GCA_003999255.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/999/255/GCF_003999255.1_ASM399925v1	na	assembly from type material	na        	haploid	bacteria	2905633	2905633	35.0	1	1	1	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2024-02-25	2854	2736	59	na	Bacteria	Bacillati	Bacillota		Caldicellulosiruptorales	Caldicellulosiruptoraceae	Caldicellulosiruptor				Bacillota incertae sedis											
GCF_000829235.1	PRJNA224116	SAMD00061037	na	reference genome	1228987	718217	cyanobacterium endosymbiont of Epithemia turgida isolate EtSB Lake Yunoko	na	ETSB Lake Yunoko	latest	Complete Genome	Major	Full	2014-07-23	ASM82923v1	Department of Biochemistry & Molecular Biology, Dalhousie University	GCA_000829235.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/829/235/GCF_000829235.1_ASM82923v1	na	na	na        	haploid	bacteria	2794318	2794318	33.5	1	1	1	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2024-02-17	1867	1710	49	25049384	Bacteria	Bacillati	Cyanobacteriota							Cyanobacteriota/Melainabacteria group	unclassified Cyanobacteriota			cyanobacterium endosymbiont of Epithemia turgida								
GCF_016592595.1	PRJNA224116	SAMD00067080	na	reference genome	1235283	596095	Abyssogena phaseoliformis symbiont OG214	na	OG214	latest	Complete Genome	Major	Full	2020-12-09	ASM1659259v1	Japan Agency for Marine-Earth Science and Technology	GCA_016592595.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/592/595/GCF_016592595.1_ASM1659259v1	na	na	na        	haploid	bacteria	1542177	1542177	37.0	1	1	1	NCBI RefSeq	GCF_016592595.1-RS_2024_04_30	2024-04-30	2037	1898	43	na	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria							unclassified Gammaproteobacteria			Abyssogena phaseoliformis symbiont								
GCF_016592615.1	PRJNA224116	SAMD00067081	na	reference genome	1235284	883811	Isorropodon fossajaponicum endosymbiont JTNG4	strain=JTNG4	na	latest	Complete Genome	Major	Full	2020-12-09	ASM1659261v1	Japan Agency for Marine-Earth Science and Technology	GCA_016592615.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/592/615/GCF_016592615.1_ASM1659261v1	na	na	na        	haploid	bacteria	1447997	1447997	37.0	1	1	1	NCBI RefSeq	GCF_016592615.1-RS_2024_04_30	2024-04-30	1740	1533	44	na	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria							unclassified Gammaproteobacteria			Isorropodon fossajaponicum symbiont								
GCF_002119765.1	PRJNA224116	SAMN06886414	na	reference genome	1235591	1235591	Pseudorhodoplanes sinuspersici	strain=RIPI110	na	latest	Complete Genome	Major	Full	2017-05-09	ASM211976v1	Research institute of petroleum industry	GCA_002119765.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/119/765/GCF_002119765.1_ASM211976v1	na	assembly from type material	na        	haploid	bacteria	5971615	5971615	60.5	1	1	1	NCBI RefSeq	GCF_002119765.1-RS_2024_04_30	2024-04-30	5775	5652	55	na	Bacteria	Pseudomonadati	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales		Pseudorhodoplanes				Hyphomicrobiales incertae sedis											
GCF_000328725.1	PRJNA224116	SAMEA2272626	na	reference genome	1246955	171284	Mycoplasmopsis cynos C142	strain=C142	na	latest	Complete Genome	Major	Full	2012-12-12	ASM32872v1	RVC	GCA_000328725.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/328/725/GCF_000328725.1_ASM32872v1	na	na	na        	haploid	bacteria	998123	998123	25.5	1	1	1	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2024-02-26	821	776	40	na	Bacteria	Bacillati	Mycoplasmatota		Mycoplasmoidales	Metamycoplasmataceae	Mycoplasmopsis							Mycoplasmopsis cynos								
GCF_000801295.1	PRJNA224116	SAMD00061055	na	reference genome	1248727	1248727	endosymbiont of unidentified scaly snail isolate Monju	na	Monju	latest	Complete Genome	Major	Full	2013-08-14	ASM80129v1	Japan Agency for Marine-Earth Science and Technology	GCA_000801295.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/801/295/GCF_000801295.1_ASM80129v1	na	na	na        	haploid	bacteria	2597759	2597759	65.0	1	1	1	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2024-02-12	2589	2420	50	23924784	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria							unclassified Gammaproteobacteria											
GCF_004168625.1	PRJNA224116	SAMN10822479	SDWW00000000.1	reference genome	1259133	1259133	Pengzhenrongella frigida	strain=HLT2-17	na	latest	Contig	Major	Full	2019-02-12	ASM416862v1	Institute of Microbiology, Chinese Academy of Sciences	GCA_004168625.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/168/625/GCF_004168625.1_ASM416862v1	na	assembly from type material	na        	haploid	bacteria	4316912	4316912	71.5	0	126	126	NCBI RefSeq	GCF_004168625.1-RS_2024_06_23	2024-06-23	3974	3866	51	na	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micrococcales		Pengzhenrongella				Micrococcales incertae sedis											
GCF_000767725.1	PRJNA224116	SAMN03112835	na	reference genome	1267000	2098	Metamycoplasma hominis ATCC 27545	strain=LBD-4	na	latest	Complete Genome	Major	Full	2014-10-22	ASM76772v1	University of Missouri - Columbia	GCA_000767725.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/767/725/GCF_000767725.1_ASM76772v1	na	na	na        	haploid	bacteria	715165	715165	27.0	1	1	1	NCBI RefSeq	GCF_000767725.1-RS_2024_03_28	2024-03-28	622	580	42	na	Bacteria	Bacillati	Mycoplasmatota		Mycoplasmoidales	Metamycoplasmataceae	Metamycoplasma							Metamycoplasma hominis								
GCF_000969765.1	PRJNA224116	SAMN03433916	na	reference genome	1267001	2109	Mycoplasmopsis synoviae ATCC 25204	strain=WVU1853T	na	latest	Complete Genome	Major	Full	2015-04-07	ASM96976v1	University of Florida	GCA_000969765.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/969/765/GCF_000969765.1_ASM96976v1	na	assembly from type material	na        	haploid	bacteria	846495	846495	28.5	1	1	1	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2024-02-26	767	694	44	26021934	Bacteria	Bacillati	Mycoplasmatota		Mycoplasmoidales	Metamycoplasmataceae	Mycoplasmopsis							Mycoplasmopsis synoviae								
GCF_003100395.1	PRJNA224116	SAMN09010100	na	reference genome	1296669	1296669	Aquabacterium olei	strain=NBRC 110486	na	latest	Complete Genome	Major	Full	2018-05-09	ASM310039v1	Zhejiang Academy of Agricultural Sciences	GCA_003100395.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/100/395/GCF_003100395.1_ASM310039v1	na	assembly from type material	na        	haploid	bacteria	4256308	4256308	67.5	2	2	2	NCBI RefSeq	GCF_003100395.1-RS_2024_05_03	2024-05-03	3827	3728	74	na	Bacteria	Pseudomonadati	Pseudomonadota	Betaproteobacteria	Burkholderiales		Aquabacterium				Burkholderiales genera incertae sedis											
GCF_004154955.1	PRJNA224116	SAMN03610663	na	reference genome	1297617	1297617	Intestinimonas butyriciproducens	strain=SRB-521-5-I	na	latest	Complete Genome	Major	Full	2019-02-11	ASM415495v1	Wageningen University	GCA_004154955.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/154/955/GCF_004154955.1_ASM415495v1	na	assembly from type material	na        	haploid	bacteria	3224506	3224506	59.5	1	1	1	NCBI RefSeq	GCF_004154955.1-RS_2024_03_28	2024-03-28	3252	3155	64	na	Bacteria	Bacillati	Bacillota	Clostridia	Eubacteriales		Intestinimonas				Eubacteriales incertae sedis											
GCF_001547755.1	PRJNA224116	SAMD00024725	na	reference genome	1303921	113267	endosymbiont of Bathymodiolus septemdierum str. Myojin knoll	strain=Myojin knoll	A1	latest	Complete Genome	Major	Full	2015-10-06	ASM154775v1	Japan Agency for Marine-Earth Science and Technology	GCA_001547755.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/547/755/GCF_001547755.1_ASM154775v1	na	na	na        	haploid	bacteria	1469434	1469434	38.5	1	1	1	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2024-02-12	1587	1528	42	26418631	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria						sulfur-oxidizing symbionts	Gammaproteobacteria incertae sedis			Bathymodiolus septemdierum thioautotrophic gill symbiont								
GCF_003991135.1	PRJNA224116	SAMN05285382	na	reference genome	1323375	1323375	Anoxybacter fermentans	strain=DY22613	na	latest	Complete Genome	Major	Full	2019-01-03	ASM399113v1	the third institute of oceanography	GCA_003991135.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/991/135/GCF_003991135.1_ASM399113v1	na	assembly from type material	na        	haploid	bacteria	3557532	3557532	36.0	1	1	1	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2024-03-06	3271	3103	113	na	Bacteria	Bacillati	Bacillota	Clostridia	Halanaerobiales		Anoxybacter				Halanaerobiales incertae sedis											
GCF_034471385.1	PRJNA224116	SAMN27755638	JARGYU000000000.1	reference genome	1332059	1332059	Lyticum sinuosum	strain=USBL-36I1	na	latest	Contig	Major	Full	2023-12-18	ASM3447138v1	University of Pavia	GCA_034471385.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/034/471/385/GCF_034471385.1_ASM3447138v1	na	na	na        	haploid	bacteria	1018517	1018517	23.5	0	6	6	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2023-12-22	828	776	41	na	Bacteria	Pseudomonadati	Pseudomonadota	Alphaproteobacteria	Rickettsiales		Lyticum				Rickettsiales genera incertae sedis											
GCF_000416965.1	PRJNA224116	SAMN02471612	ATCL00000000.1	reference genome	1345023	1385984	Exiguobacterium chiriqhucha RW-2	strain=RW-2	na	latest	Contig	Major	Full	2013-07-01	23.K55	University of British Columbia	GCA_000416965.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/416/965/GCF_000416965.1_23.K55	na	assembly from type material	na        	haploid	bacteria	3019504	3019504	52.0	0	23	23	NCBI RefSeq	GCF_000416965.1-RS_2024_03_28	2024-03-28	3115	3040	61	23929485	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales		Exiguobacterium				Bacillales Family XII. Incertae Sedis			Exiguobacterium chiriqhucha								
GCF_016908595.1	PRJNA224116	SAMN17619952	JAFBEC000000000.1	reference genome	1347788	1347788	Geomicrobium sediminis	strain=DSM 25540	na	latest	Contig	Major	Full	2021-02-19	ASM1690859v1	DOE Joint Genome Institute	GCA_016908595.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/908/595/GCF_016908595.1_ASM1690859v1	na	assembly from type material	na        	haploid	bacteria	4023443	4023443	41.5	0	35	35	NCBI RefSeq	GCF_016908595.1-RS_2024_03_28	2024-03-28	4266	4158	62	na	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales		Geomicrobium				Bacillales incertae sedis											
GCF_001939065.1	PRJNA224116	SAMN03159272	MPSZ00000000.1	reference genome	1358421	296995	Exiguobacterium indicum HHS 31	strain=HHS 31	na	latest	Contig	Major	Full	2017-01-06	ASM193906v1	Centre for Cellular and Molecular Biology	GCA_001939065.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/939/065/GCF_001939065.1_ASM193906v1	na	assembly from type material	na        	haploid	bacteria	3244965	3244965	46.5	0	23	23	NCBI RefSeq	GCF_001939065.1-RS_2024_03_29	2024-03-29	3356	3270	68	na	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales		Exiguobacterium				Bacillales Family XII. Incertae Sedis			Exiguobacterium indicum								
GCF_000744775.1	PRJNA224116	SAMN02744724	JQMP00000000.1	reference genome	1382356	1382356	Thermorudis peleae	strain=KI4	na	latest	Contig	Major	Full	2014-08-28	ASM74477v1	DOE Joint Genome Institute	GCA_000744775.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/744/775/GCF_000744775.1_ASM74477v1	na	assembly from type material	na        	haploid	bacteria	2934621	2934621	60.0	0	4	4	NCBI RefSeq	GCF_000744775.1-RS_2024_04_05	2024-04-05	2678	2602	57	na	Bacteria	Pseudomonadati	Thermomicrobiota	Thermomicrobia			Thermorudis				Thermomicrobia incertae sedis											
GCF_026810225.1	PRJNA224116	SAMN31840452	na	reference genome	1387555	1387555	Caldicellulosiruptor morganii	strain=DSM 8990	na	latest	Complete Genome	Major	Full	2022-12-12	ASM2681022v1	North Carolina State University	GCA_026810225.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/026/810/225/GCF_026810225.1_ASM2681022v1	na	assembly from type material	na        	haploid	bacteria	2475467	2475467	36.5	1	1	1	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2024-02-25	2415	2280	59	na	Bacteria	Bacillati	Bacillota		Caldicellulosiruptorales	Caldicellulosiruptoraceae	Caldicellulosiruptor				Bacillota incertae sedis											
GCF_000955725.1	PRJNA224116	SAMN02745017	LACM00000000.1	reference genome	1387557	1387557	Caldicellulosiruptor danielii	strain=Wai35.B1	na	latest	Contig	Major	Full	2015-03-17	ASM95572v1	DOE Joint Genome Institute	GCA_000955725.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/955/725/GCF_000955725.1_ASM95572v1	na	assembly from type material	na        	haploid	bacteria	2834482	2834482	36.0	0	1	1	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2024-02-25	2727	2613	62	25977428	Bacteria	Bacillati	Bacillota		Caldicellulosiruptorales	Caldicellulosiruptoraceae	Anaerocellum				Bacillota incertae sedis											
GCF_016599145.1	PRJNA224116	SAMN17109521	JAENKO000000000.1	reference genome	1387982	1387982	Tomitella cavernea	strain=JCM 18542	na	latest	Contig	Major	Full	2021-01-10	ASM1659914v1	Chinese Center for Disease Control and Prevention	GCA_016599145.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/599/145/GCF_016599145.1_ASM1659914v1	na	assembly from type material	na        	haploid	bacteria	4021385	4021385	70.5	0	115	115	NCBI RefSeq	GCF_016599145.1-RS_2024_08_29	2024-08-29	3771	3606	56	24737794	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Mycobacteriales		Tomitella				Corynebacteriales incertae sedis											
GCF_001263205.1	PRJNA224116	SAMN03951129	na	reference genome	1391654	1391654	Labilithrix luteola	strain=DSM 27648	na	latest	Complete Genome	Major	Full	2015-08-07	ASM126320v1	IMTECH-CSIR	GCA_001263205.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/263/205/GCF_001263205.1_ASM126320v1	na	assembly from type material	na        	haploid	bacteria	12191466	12191466	66.0	1	1	1	NCBI RefSeq	GCF_001263205.1-RS_2024_03_28	2024-03-28	10616	10511	74	na	Bacteria	Pseudomonadati	Myxococcota		Polyangiales	Labilitrichaceae	Labilithrix		Polyangia													
GCF_000469155.1	PRJNA224116	SAMN02470126	AWXE00000000.1	reference genome	1397666	1397666	Candidatus Micropelagos thuwalensis	strain=RS24	na	latest	Contig	Major	Full	2013-09-20	RS24	KAUST	GCA_000469155.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/469/155/GCF_000469155.1_RS24	na	na	na        	haploid	bacteria	1957724	1957724	45.0	0	5	5	NCBI RefSeq	GCF_000469155.1-RS_2024_03_31	2024-03-31	1929	1874	43	24785133	Bacteria	Pseudomonadati	Pseudomonadota	Alphaproteobacteria			Candidatus Micropelagos			PS1 clade	Alphaproteobacteria incertae sedis											
GCF_000620805.1	PRJNA224116	SAMN02743962	JHZV00000000.1	reference genome	1397693	169177	Exiguobacterium undae DSM 14481	strain=DSM 14481	na	latest	Scaffold	Major	Full	2014-04-08	ASM62080v1	DOE Joint Genome Institute	GCA_000620805.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/620/805/GCF_000620805.1_ASM62080v1	na	assembly from type material	na        	haploid	bacteria	3246106	3221968	48.0	0	4	10	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2024-01-25	3320	3235	71	25323723	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales		Exiguobacterium				Bacillales Family XII. Incertae Sedis			Exiguobacterium undae								
GCF_000702585.1	PRJNA224116	SAMN02841171	JNIQ00000000.1	reference genome	1397694	33987	Exiguobacterium aurantiacum DSM 6208	strain=DSM 6208	na	latest	Contig	Major	Full	2014-06-11	ASM70258v1	DOE Joint Genome Institute	GCA_000702585.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/702/585/GCF_000702585.1_ASM70258v1	na	assembly from type material	na        	haploid	bacteria	3037601	3037601	53.0	0	2	2	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2024-01-25	3144	3001	99	25323723	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales		Exiguobacterium				Bacillales Family XII. Incertae Sedis			Exiguobacterium aurantiacum								
