Assembly Accession	Assembly Name	Organism Name	Organism Taxonomic ID	ANI Check status	Organism Infraspecific Names Breed	Annotation Name	Assembly Stats Total Sequence Length	Assembly Stats Total Number of Chromosomes	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Contig N50	Assembly Stats Scaffold N50	Assembly Stats Number of Scaffolds	Assembly Sequencing Tech	Assembly Submitter	Assembly BioProject Accession	Assembly BioSample Accession	Annotation Count Gene Total	Annotation Count Gene Protein-coding	Annotation Count Gene Pseudogene	Type Material Display Text	CheckM marker set	CheckM completeness	CheckM contamination	superkingdom	kingdom	phylum	class	order	family	genus	species	domain
GCF_900184895.1	L.marina_CECT8899_Spades_Prokka	Flavimaricola marinus	1819565	OK		GCF_900184895.1-RS_2024_08_20	4792571		Contig	2017-07-23	FXZK01	404368				UVEG	PRJEB21024	SAMEA104102533	4635	4517	68.0	assembly from type material	Rhodobacteraceae	99.56	1.91	Bacteria	Pseudomonadati	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Flavimaricola		
GCF_003148645.1	ASM314864v1	Xanthomarina spongicola	570520	Inconclusive		GCF_003148645.1-RS_2024_12_11	3155334		Scaffold	2018-05-22	QGGP01	404321	404321.0	29.0	Illumina HiSeq	DOE Joint Genome Institute	PRJNA262266	SAMN05660201	2950	2893	13.0	assembly from type material	Flavobacteriaceae	99.68	0.32	Bacteria	Pseudomonadati	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Xanthomarina		
GCF_008727925.1	ASM872792v1	Adhaeribacter soli	2607655	OK		GCF_008727925.1-RS_2024_10_23	4974022		Contig	2019-09-29	VTWT01	404234			Illumina NovaSeq	Seoul Women's University	PRJNA563288	SAMN12671291	3963	3900	19.0	assembly from type material	Cytophagales	98.48	0.41	Bacteria	Pseudomonadati	Bacteroidota	Cytophagia	Cytophagales	Hymenobacteraceae	Adhaeribacter		
GCF_028829235.1	ASM2882923v1	Tenacibaculum larymnensis	2878201	OK		GCF_028829235.1-RS_2024_03_27	3660580		Contig	2023-02-23	JAIWJY01	404126			DNB seq	Hellenic Centre for Marine Research	PRJNA765488	SAMN21561561	3393	3306	31.0	assembly from type material	Tenacibaculum	95.29	7.57	Bacteria	Pseudomonadati	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Tenacibaculum		
GCF_023736155.1	ASM2373615v1	Larsenimonas salina	1295565	OK		GCF_023736155.1-RS_2024_06_20	3192464		Contig	2022-06-15	JAMLJJ01	404083			Illumina	BioPS Co., Ltd.	PRJNA839220	SAMN28514217	2949	2866	15.0	assembly from type material	Halomonadaceae	99.88	2.24	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Larsenimonas		
GCF_039532545.1	ASM3953254v1	Actinomadura vinacea	115336	OK		GCF_039532545.1-RS_2024_05_10	10339278		Scaffold	2024-02-23	BAAARW01	404030	440372.0	64.0	MGISEQ-2000	WFCC-MIRCEN World Data Centre for Microorganisms (WDCM)	PRJDB10510	SAMD00645334	9561	9336	134.0	assembly from type material	Actinomadura	94.91	11.68	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Streptosporangiales	Thermomonosporaceae	Actinomadura		
GCF_037860835.1	ASM3786083v1	Aquipuribacter nitratireducens	650104	OK		GCF_037860835.1-RS_2024_04_07	3827235		Contig	2024-03-29	JBBEOG01	403959			PacBio RSII	Ningbo University	PRJNA1083762	SAMN40259654	3636	3551	30.0	assembly from type material	Intrasporangiaceae	93.13	1.86	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micrococcales	Intrasporangiaceae	Aquipuribacter		
GCF_001758465.1	ASM175846v1	Alteromonas lipolytica	1856405	OK		GCF_001758465.1-RS_2024_04_26	5018451		Scaffold	2016-10-12	MJIC01	403822	791809.0	21.0	Illumina HiSeq	Second Institute of Oceanography, State Oceanic Administration	PRJNA336468	SAMN05511236	4460	4374	19.0	assembly from type material	Alteromonas	90.24	10.0	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alteromonas		
GCF_030813595.1	ASM3081359v1	Ancylobacter vacuolatus	223389	OK		GCF_030813595.1-RS_2024_08_20	5020355		Contig	2023-08-18	JAUSUH01	403795			Illumina	DOE Joint Genome Institute	PRJNA708484	SAMN18243393	4634	4536	40.0	assembly from type material	Xanthobacteraceae	99.52	0.35	Bacteria	Pseudomonadati	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Xanthobacteraceae	Ancylobacter		
GCF_015767265.1	ASM1576726v1	Aureivirga marina	1182451	OK		GCF_015767265.1-RS_2024_10_23	3927079		Scaffold	2020-12-05	JADPIB01	403723	510385.0	26.0	Illumina HiSeq	Jeju National University	PRJNA679130	SAMN16824282	3536	3444	15.0	assembly from type material	Flavobacteriaceae	99.51	0.27	Bacteria	Pseudomonadati	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Aureivirga		
GCF_014197145.1	ASM1419714v1	Gellertiella hungarica	1572859	OK		GCF_014197145.1-RS_2024_05_05	4773980		Scaffold	2020-08-14	JACIEZ01	403707	403707.0	36.0	Illumina	DOE Joint Genome Institute	PRJNA583282	SAMN13172762	4593	4481	55.0	assembly from type material	Rhizobiaceae	99.8	1.48	Bacteria	Pseudomonadati	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	Gellertiella		
GCF_013166595.1	ASM1316659v1	Palleniella intestinalis	2736291	OK		GCF_013166595.1-RS_2024_08_13	3510348		Contig	2020-05-25	JABKKG01	403616			Illumina HiSeq	Helmholtz Centre for Infection Research - HZI	PRJNA630669	SAMN14906829	2868	2768	36.0	assembly from type material	Prevotellaceae	96.87	1.62	Bacteria	Pseudomonadati	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Palleniella		
GCF_014650355.1	ASM1465035v1	Streptomyces xanthochromogenes	67384	OK		GCF_014650355.1-RS_2024_09_02	8711471		Scaffold	2020-09-12	BMUU01	403561	557778.0	66.0	Illumina HiSeq X Ten	WFCC-MIRCEN World Data Centre for Microorganisms (WDCM)	PRJDB10510	SAMD00245482	7827	7642	110.0	assembly from synonym type material	Streptomyces	99.62	1.17	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces		
GCF_000797465.1	ASM79746v1	Psychroserpens jangbogonensis	1484460	OK		GCF_000797465.1-RS_2024_04_02	3633537		Contig	2014-12-04	JSWG01	403538			Illumina MiSeq	KORIA POLAR RESEARCH INSTITUTE	PRJNA255842	SAMN02929382	3259	3200	17.0	assembly from type material	Flavobacteriaceae	100.0	1.62	Bacteria	Pseudomonadati	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Psychroserpens		
GCF_021228235.1	ASM2122823v1	Pseudophaeobacter flagellatus	2899119	OK		GCF_021228235.1-RS_2024_12_13	4294042		Scaffold	2021-12-18	JAJQRG01	403440	403440.0	28.0	Illumina	Korea Research Institute of Bioscience and biotechnologyy	PRJNA784745	SAMN23500193	4106	3987	59.0	assembly from type material	Rhodobacteraceae	99.41	0.29	Bacteria	Pseudomonadati	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Pseudophaeobacter		
GCF_020966775.1	ASM2096677v1	Rhodopirellula halodulae	2894198	OK		GCF_020966775.1-RS_2024_10_11	6608739		Scaffold	2021-11-23	JAJKFV01	403425	663819.0	33.0	Illumina	The Institute of Microbiology of the Chinese Academy of Sciences	PRJNA779835	SAMN23076856	4855	4756	18.0	assembly from type material	Rhodopirellula	95.95	2.06	Bacteria	Pseudomonadati	Planctomycetota	Planctomycetia	Pirellulales	Pirellulaceae	Rhodopirellula		
GCF_008629675.1	ASM862967v1	Roseiconus nitratireducens	2605748	OK		GCF_008629675.1-RS_2024_10_11	8196902		Contig	2019-09-20	VWOX01	403299			Illumina HiSeqX10	University of Hyderabad	PRJNA561778	SAMN12628151	5819	5714	22.0	assembly from type material	Planctomycetia	99.41	1.76	Bacteria	Pseudomonadati	Planctomycetota	Planctomycetia	Pirellulales	Pirellulaceae	Roseiconus		
GCF_003053845.1	ASM305384v1	Breoghania corrubedonensis	665038	OK		GCF_003053845.1-RS_2024_05_19	5331589		Contig	2018-04-17	QAYG01	403143			Illumina HiSeq	DOE Joint Genome Institute	PRJNA443686	SAMN08776944	4721	4633	30.0	assembly from type material	Rhizobiales	99.09	1.43	Bacteria	Pseudomonadati	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Stappiaceae	Breoghania		
GCF_021083185.1	ASM2108318v1	Nocardioides furvisabuli	375542	OK		GCF_021083185.1-RS_2024_08_29	4106718		Contig	2021-12-06	JAIGQB01	403038			Illumina HiSeq	JIUJIANG UNIVERSITY	PRJNA754085	SAMN20741140	3974	3903	17.0	assembly from type material	Nocardioides	99.25	1.21	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Propionibacteriales	Nocardioidaceae	Nocardioides		
GCF_042646065.1	ASM4264606v1	Parapedobacter deserti	1912957	OK		GCF_042646065.1-RS_2024_12_16	5069307		Contig	2024-10-05	JBHRTA01	403005			Illumina MiSeq	Institution of Microbiology, Chinese Academy of Science(WDCM)	PRJNA595761	SAMN43282280	4274	4200	28.0	assembly from type material	Sphingobacteriaceae	98.91	0.68	Bacteria	Pseudomonadati	Bacteroidota	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Parapedobacter		
GCF_900188205.1	IMG-taxon 2622736631 annotated assembly	Geodermatophilus saharensis	1137994	OK		GCF_900188205.1-RS_2024_05_03	4892778		Scaffold	2017-07-16	FZOH01	402954	402954.0	20.0		DOE - JOINT GENOME INSTITUTE	PRJEB21407	SAMN04488107	4718	4623	35.0	assembly from type material	Geodermatophilaceae	96.52	3.49	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Geodermatophilales	Geodermatophilaceae	Geodermatophilus		
GCF_025153485.1	ASM2515348v1	Chryseobacterium pyrolae	2987481	OK		GCF_025153485.1-RS_2024_04_15	4638664		Contig	2022-09-12	JANZQH01	402901			Illumina HiSeq	Chinese Academy of Agricultural Sciences	PRJNA875242	SAMN30609214	4254	4165	13.0	assembly from type material	Chryseobacterium	99.15	1.27	Bacteria	Pseudomonadati	Bacteroidota	Flavobacteriia	Flavobacteriales	Weeksellaceae	Chryseobacterium		
GCF_042679525.1	ASM4267952v1	Rhodanobacter aciditrophus	1623218	Inconclusive		GCF_042679525.1-RS_2024_10_07	3725137		Scaffold	2024-10-06	JBHTMN01	402761	414090.0	25.0	Illumina MiSeq	Institution of Microbiology, Chinese Academy of Science(WDCM)	PRJNA595761	SAMN43284313	3515	3420	17.0	assembly from type material	Rhodanobacter	57.57	19.94	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Lysobacterales	Rhodanobacteraceae	Rhodanobacter		
GCF_001750285.1	ASM175028v1	Domibacillus iocasae	1714016	OK		GCF_001750285.1-RS_2024_05_02	3464277		Contig	2016-09-30	MAMP01	402511			Illumina MiSeq	CSIR-Institute of Microbial Technology	PRJNA326301	SAMN05255235	3641	3489	57.0	assembly from type material	Bacillaceae	98.39	0.32	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Bacillaceae	Domibacillus		
GCF_900114175.1	IMG-taxon 2690315618 annotated assembly	Candidatus Pantoea symbiotica	1884370	OK		GCF_900114175.1-RS_2024_09_08	5277081		Scaffold	2016-11-02	FOSD01	402499	402499.0	27.0		DOE - JOINT GENOME INSTITUTE	PRJEB17406	SAMN05518863	4836	4723	29.0	assembly from type material	Pantoea	99.55	0.86	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Pantoea		
GCF_009745985.1	ASM974598v1	Microbacterium karelineae	2654283	OK		GCF_009745985.1-RS_2024_08_01	4031749		Contig	2019-12-12	WFIX01	402295			Illumina MiSeq	Tarim University	PRJNA577614	SAMN13030836	3666	3552	50.0	assembly from type material	Microbacterium	99.11	3.36	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Microbacterium		
GCF_014042355.1	ASM1404235v1	Rugamonas apoptosis	2758570	OK		GCF_014042355.1-RS_2024_09_24	6138229		Scaffold	2020-08-02	JACEZU01	402262	402262.0	94.0	Illumina NovaSeq	Guangdong Institute of Microbiology	PRJNA575502	SAMN15636465	5532	5370	50.0	assembly from type material	Oxalobacteraceae	100.0	0.88	Bacteria	Pseudomonadati	Pseudomonadota	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Rugamonas		
GCF_005047595.1	ASM504759v1	Pontimicrobium aquaticum	2565367	OK		GCF_005047595.1-RS_2024_10_23	3313614		Scaffold	2019-05-01	SUPL01	402144	443131.0	22.0	Illumina HiSeq	Chung-Ang University	PRJNA531330	SAMN11356677	3082	3020	17.0	assembly from type material	Flavobacteriaceae	100.0	0.81	Bacteria	Pseudomonadati	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Pontimicrobium		
GCF_037860775.1	ASM3786077v1	Emticicia soli	2027878	OK		GCF_037860775.1-RS_2024_04_07	6023106		Contig	2024-03-29	JBBEWC01	402133			PacBio RSII	Ningbo University	PRJNA1083970	SAMN40263687	4953	4894	17.0	assembly from type material	Cytophagales	99.37	0.61	Bacteria	Pseudomonadati	Bacteroidota	Cytophagia	Cytophagales	Leadbetterellaceae	Emticicia		
GCF_020164585.1	ASM2016458v1	Psychroflexus curvus	2873595	OK		GCF_020164585.1-RS_2024_12_09	3006351		Scaffold	2021-09-25	JAIQZF01	401654	401654.0	35.0	Illumina NovaSeq	Guangdong Institute of Microbiology	PRJNA575502	SAMN21033593	2740	2671	19.0	assembly from type material	Psychroflexus	86.63	4.16	Bacteria	Pseudomonadati	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Psychroflexus		
GCF_030814955.1	ASM3081495v1	Planomicrobium stackebrandtii	253160	Inconclusive		GCF_030814955.1-RS_2024_12_09	3797630		Contig	2023-08-18	JAUSWB01	401491			Illumina	DOE Joint Genome Institute	PRJNA976372	SAMN35367928	3783	3697	10.0	assembly from type material	Planococcaceae	99.19	1.83	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Caryophanaceae	Planomicrobium		
GCF_003351045.1	ASM335104v1	Gaiella occulta	1002870	OK		GCF_003351045.1-RS_2024_04_07	3028529		Contig	2018-07-31	QQZY01	401372			Illumina MiSeq	Biocant	PRJNA481728	SAMN09689339	3174	3094	26.0	assembly from type material	Actinobacteria	96.43	2.94	Bacteria	Bacillati	Actinomycetota	Thermoleophilia	Gaiellales	Gaiellaceae	Gaiella		
GCF_042684865.1	ASM4268486v1	Salibacterium lacus	1898109	OK		GCF_042684865.1-RS_2024_10_07	3476733		Scaffold	2024-10-07	JBHUML01	401368	1926264.0	9.0	Illumina MiSeq	Institution of Microbiology, Chinese Academy of Science(WDCM)	PRJNA595761	SAMN43282402	3587	3481	36.0	assembly from type material	Bacillaceae	97.56	1.99	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Bacillaceae	Salibacterium		
GCF_021228295.1	ASM2122829v1	Agromyces humatus	279573	OK		GCF_021228295.1-RS_2024_08_29	4035387		Contig	2021-12-18	JAJQPD01	401173			Illumina HiSeq	Chinese Academy of Sciences	PRJNA784189	SAMN23575619	3758	3683	25.0	assembly from type material	Agromyces	89.23	10.37	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Agromyces		
GCF_902459735.1	LMG 20602	Pandoraea capi	2508286	OK		GCF_902459735.1-RS_2024_05_05	5852144		Contig	2019-09-12	CABPRV01	401082				LM-UGent	PRJEB30721	SAMEA5537672	5127	4996	64.0	assembly from type material	Burkholderiaceae	98.26	0.11	Bacteria	Pseudomonadati	Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Pandoraea		
GCF_009832745.1	ASM983274v1	Polaribacter septentrionalilitoris	2494657	OK		GCF_009832745.1-RS_2024_10_23	3450919		Contig	2020-01-07	VRMJ01	401038			Illumina MiSeq	GEOMAR Helmholtz Center for Ocean Research Kiel	PRJNA556580	SAMN11565493	3011	2952	16.0	assembly from type material	Polaribacter	94.64	2.97	Bacteria	Pseudomonadati	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Polaribacter		
GCF_039526725.1	ASM3952672v1	Pseudonocardia aurantiaca	75290	OK		GCF_039526725.1-RS_2024_05_10	7893215		Scaffold	2024-02-23	BAAAJG01	400915	446597.0	39.0	Illumina Novaseq 6000	WFCC-MIRCEN World Data Centre for Microorganisms (WDCM)	PRJDB10510	SAMD00645110	7613	7401	158.0	assembly from type material	Pseudonocardia	94.73	7.1	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Pseudonocardiales	Pseudonocardiaceae	Pseudonocardia		
GCF_020447315.1	ASM2044731v1	Hymenobacter nitidus	2880929	OK		GCF_020447315.1-RS_2024_06_03	5546134		Contig	2021-10-13	JAJADQ01	400859			Illumina iSeq	Seoul Women's University	PRJNA768930	SAMN22070957	4695	4633	13.0	assembly from type material	Hymenobacter	96.94	3.18	Bacteria	Pseudomonadati	Bacteroidota	Cytophagia	Cytophagales	Hymenobacteraceae	Hymenobacter		
GCF_013839525.1	ASM1383952v1	Chthonobacter rhizosphaerae	2735553	Inconclusive		GCF_013839525.1-RS_2024_05_05	4987857		Contig	2020-07-28	JACDIS01	400700			Illumina HiSeq	State Key Laboratory for Conservation and Utilization of Bio-Resources in Yunnan	PRJNA631801	SAMN14892248	4473	4361	59.0	assembly from type material	Rhizobiales	99.09		Bacteria	Pseudomonadati	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Pleomorphomonadaceae	Chthonobacter		
GCF_007279655.1	ASM727965v1	Robertkochia solimangrovi	2213046	OK		GCF_007279655.1-RS_2024_04_05	4407270		Contig	2019-07-22	QKWN01	400581			Illumina HiSeq	FACULTY OF BIOSCIENCES AND MEDICAL ENGINEERING, UNIVERSITI TEKNOLOGI MALAYSIA	PRJNA474347	SAMN09298598	3708	3647	10.0	assembly from type material	Flavobacteriaceae	99.68	0.71	Bacteria	Pseudomonadati	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Robertkochia		
GCF_021728295.1	ASM2172829v1	Pseudomonas petrae	2912190	OK		GCF_021728295.1-RS_2024_03_15	5853939		Contig	2022-01-30	JAKJXE01	400414			Illumina HiSeq 4000	Masaryk University	PRJNA799153	SAMN25146087	5205	5053	89.0	assembly from type material	Pseudomonas	99.41	0.22	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas		
GCF_003014535.1	ASM301453v1	Taibaiella chishuiensis	1434707	OK		GCF_003014535.1-RS_2024_05_03	5841105		Scaffold	2018-03-23	PYGD01	400323	400323.0	24.0	Illumina HiSeq	DOE Joint Genome Institute	PRJNA370101	SAMN06297156	4905	4833	12.0	assembly from type material	Chitinophagaceae	94.87	3.79	Bacteria	Pseudomonadati	Bacteroidota	Chitinophagia	Chitinophagales	Chitinophagaceae	Taibaiella		
GCF_030068605.1	ASM3006860v1	Xanthocytophaga agilis	3048010	OK		GCF_030068605.1-RS_2024_03_15	9771560		Contig	2023-05-24	JASJOU01	399705			Illumina HiSeq	Guangdong Institute of Microbiology	PRJNA973844	SAMN35152402	8046	7924	38.0	assembly from type material	Cytophagales	100.0	1.63	Bacteria	Pseudomonadati	Bacteroidota	Cytophagia	Cytophagales	Rhodocytophagaceae	Xanthocytophaga		
GCF_900108245.1	IMG-taxon 2622736433 annotated assembly	Bosea lathyri	1036778	OK		GCF_900108245.1-RS_2024_04_25	5918613		Scaffold	2016-10-24	FNUY01	399699	399699.0	25.0		DOE - JOINT GENOME INSTITUTE	PRJEB16701	SAMN04488115	5582	5444	67.0	assembly from type material	Rhizobiales	100.0		Bacteria	Pseudomonadati	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Boseaceae	Bosea		
GCF_041463655.1	ASM4146365v1	Actinomadura monticuli	3097367	OK		GCF_041463655.1-RS_2024_08_27	7933930		Scaffold	2024-08-26	JAXCEI01	399476	416182.0	48.0	Illumina	BioPS Co., Ltd.	PRJNA1042953	SAMN38327650	7518	7364	77.0	assembly from type material	Actinomadura	96.22	6.68	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Streptosporangiales	Thermomonosporaceae	Actinomadura		
GCF_030056655.1	ASM3005665v1	Flectobacillus rivi	2984209	OK		GCF_030056655.1-RS_2024_09_16	6471873		Contig	2023-05-21	JASHIE01	399469			Illumina HiSeq	Nanjing Institute of Geography and Limnology, Chinese Academy of Sciences	PRJNA575502	SAMN31157492	4983	4901	24.0	assembly from type material	Cytophagales	100.0	0.3	Bacteria	Pseudomonadati	Bacteroidota	Cytophagia	Cytophagales	Flectobacillaceae	Flectobacillus		
GCF_024714495.1	ASM2471449v1	Marinoscillum pacificum	392723	OK		GCF_024714495.1-RS_2024_09_04	6408483		Contig	2022-08-19	JAMZMJ01	399346			Illumina HiSeq	Quanzhou Normal University	PRJNA853074	SAMN29359261	5376	5321	9.0	assembly from type material	Cytophagales	99.33	0.91	Bacteria	Pseudomonadati	Bacteroidota	Cytophagia	Cytophagales	Reichenbachiellaceae	Marinoscillum		
GCF_005930355.1	ASM593035v1	Paenibacillus sinopodophylli	1837342	OK		GCF_005930355.1-RS_2024_05_04	7041010		Scaffold	2019-06-03	VDBO01	399076	521485.0	110.0	Illumina HiSeq	Yunnan University	PRJNA545180	SAMN11877707	6230	6054	106.0	assembly from type material	Paenibacillus	99.58		Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus		
GCF_003150675.1	ASM315067v1	Rhodohalobacter mucosus	2079485	OK		GCF_003150675.1-RS_2024_04_12	3908029		Contig	2018-05-23	QGGB01	398890			Illumina HiSeq	Shandong University	PRJNA454066	SAMN08997828	3263	3210	7.0	assembly from type material	Bacteria	99.66		Bacteria	Pseudomonadati	Balneolota	Balneolia	Balneolales	Balneolaceae	Rhodohalobacter		
GCF_016741855.1	ASM1674185v1	Streptomyces musisoli	2802280	OK		GCF_016741855.1-RS_2024_08_29	9364856		Contig	2021-01-21	JAERRH01	398829			Illumina MiSeq	King Mongkut's Institute of Technology Ladkrabang	PRJNA690886	SAMN17267016	8248	7937	234.0	assembly from type material	Streptomyces	100.0	1.54	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces		
GCF_039536825.1	ASM3953682v1	Sphingobacterium kyonggiense	714075	OK		GCF_039536825.1-RS_2024_05_10	4238585		Scaffold	2024-02-23	BAAAZI01	398829	398829.0	20.0	MGISEQ-2000	WFCC-MIRCEN World Data Centre for Microorganisms (WDCM)	PRJDB10510	SAMD00645541	3635	3562	16.0	assembly from type material	Sphingobacterium	89.35	4.08	Bacteria	Pseudomonadati	Bacteroidota	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium		
GCF_016722925.1	ASM1672292v1	Rhizobium setariae	2801340	OK		GCF_016722925.1-RS_2024_05_07	5611640		Scaffold	2021-01-19	JAEQNC01	398554	398554.0	37.0	Illumina	Dongguk University	PRJNA689993	SAMN17224792	5316	5155	104.0	assembly from type material	Rhizobium	96.38	2.76	Bacteria	Pseudomonadati	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	Rhizobium		
GCF_010645075.1	ASM1064507v1	Flavobacterium limi	2045105	OK		GCF_010645075.1-RS_2024_04_23	5421373		Contig	2020-02-14	JAADZV01	398265			Solexa PE150	Zhejiang University	PRJNA603220	SAMN13924924	4558	4479	21.0	assembly from type material	Flavobacterium	99.22	0.47	Bacteria	Pseudomonadati	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium		
GCF_024436355.1	ASM2443635v1	Rufibacter sediminis	2762756	OK		GCF_024436355.1-RS_2024_08_08	5577056		Scaffold	2022-07-25	JAFMZN01	398143	398143.0	30.0	Illumina NovaSeq	Sun Yat-Sen University	PRJNA699703	SAMN18221262	4514	4440	24.0	assembly from type material	Cytophagales	99.09	0.91	Bacteria	Pseudomonadati	Bacteroidota	Cytophagia	Cytophagales	Hymenobacteraceae	Rufibacter		
GCF_900172295.1	P.litorisediminis_CECT8287_Spades_Prokka	Roseovarius litorisediminis	1312363	OK		GCF_900172295.1-RS_2024_08_20	3998736		Contig	2017-04-29	FWFL01	397939				UVEG	PRJEB19736	SAMEA102326668	3937	3841	49.0	assembly from type material	Roseovarius	92.99	6.24	Bacteria	Pseudomonadati	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Roseobacteraceae	Roseovarius		
GCF_043678055.1	ASM4367805v1	Spongiimicrobium salis	1667022	OK		GCF_043678055.1-RS_2024_10_24	5466285		Scaffold	2024-10-23	JBHEQA01	397806	1271387.0	26.0	Illumina HiSeq	Shandong University at Weihai	PRJNA1158211	SAMN43532570	4746	4675	10.0	assembly from type material	Flavobacteriaceae	100.0	0.65	Bacteria	Pseudomonadati	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Spongiimicrobium		
GCF_003289925.1	ASM328992v1	Planococcus maitriensis	221799	OK		GCF_003289925.1-RS_2024_03_28	3145619		Contig	2018-07-06	QLZQ01	397773			Illumina HiSeq	Sichuan University	PRJNA476477	SAMN09435490	3158	3081	15.0	assembly from type material	Planococcus	82.11	8.02	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Caryophanaceae	Planococcus		
GCF_017312485.1	ASM1731248v1	Clostridium zeae	2759022	OK		GCF_017312485.1-RS_2024_08_26	5839723		Scaffold	2021-02-24	BMBA01	397561	1258828.0	41.0	NovaSeq 6000	Central Region Agricultural Research Center, NARO	PRJDB10319	SAMD00238710	5223	5054	42.0	assembly from type material	Clostridium	99.38	4.87	Bacteria	Bacillati	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium		
GCF_003114815.1	ASM311481v1	Leptospira ellinghausenii	1917822	OK		GCF_003114815.1-RS_2024_08_12	4193578		Contig	2018-03-17	BFAZ01	397404			Illumina MiSeq	Laboratory of Parasitology, Department of Disease Control, Graduate School of Veterinary Medicine, Hokkaido University	PRJDB6680	SAMD00111975	3959	3883	33.0	assembly from type material	Leptospira	92.73	3.88	Bacteria	Pseudomonadati	Spirochaetota	Spirochaetia	Leptospirales	Leptospiraceae	Leptospira		
GCF_019429485.1	ASM1942948v1	Sphingomonas citri	2862499	OK		GCF_019429485.1-RS_2024_09_03	4687655		Contig	2021-07-31	JAHXZN01	397330			Illumina HiSeq	Institute of Microbiology, Guangdong Academy of Sciences	PRJNA748860	SAMN20346134	4368	4279	36.0	assembly from type material	Sphingomonas	99.76	0.77	Bacteria	Pseudomonadati	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas		
GCF_900115865.1	IMG-taxon 2684622851 annotated assembly	Donghicola eburneus	393278	OK		GCF_900115865.1-RS_2024_03_28	4426466		Contig	2016-11-02	FOXY01	397211				DOE - JOINT GENOME INSTITUTE	PRJEB17141	SAMN05421764	4319	4188	75.0	assembly from type material	Rhodobacterales	99.69	0.66	Bacteria	Pseudomonadati	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Roseobacteraceae	Donghicola		
